title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4986,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148042
EXCAVADORA LOVOL  FR220D2,EQUIPO MARKETPLACE,92330,perú,lima,578,2023,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/147835
COMPRESOR KAESER  M100,EQUIPO MARKETPLACE,19500,perú,lima,2148,2018,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/147980
CAMION SERVICIO MERCEDES BENZ  AXOR 3131/48,SK RENTAL,92188,perú,piura,5375,2020,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/114894
CARGADOR CATERPILLAR  966,EQUIPO MARKETPLACE,120000,perú,lima,9000,2015,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148526
CARGADOR BAJO PERFIL CATERPILLAR  R 1300 L,EQUIPO MARKETPLACE,180000,perú,lima,5254,2015,https://www.be-market.com/tiendaonline/webapp/detalle/cargador-bajo-perfil/41550
EXCAVADORA VOLVO  EC350DL,SK RENTAL,217941,perú,lima,6739,2022,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148232
CARGADOR JCB  467zx,EQUIPO MARKETPLACE,145000,perú,lima,6566,2017,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148032
EXCAVADORA VOLVO  EC220DL M,SK RENTAL,134118,perú,lima,4791,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148138
MANIPULADOR MERLO  P35.12K,EQUIPO MARKETPLACE,25000,perú,lima,6690,2003,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/148489
EXCAVADORA VOLVO  EC350DL,SK RENTAL,222971,perú,lima,5349,2022,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/147170
GENERADOR CUMMINS  C50D6,EQUIPO MARKETPLACE,11000,perú,piura,771,2019,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148386
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,81588,perú,lima,5227,2022,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/147829
MAQUINARIA CIVIL CARMIX  5.5 XL,EQUIPO MARKETPLACE,67000,perú,lima,3585,2013,https://www.be-market.com/tiendaonline/webapp/detalle/maquinaria-civil/148490
EXCAVADORA CATERPILLAR  EXCAVADORA,EQUIPO MARKETPLACE,125000,perú,lima casa matriz,2910,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148076
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,64041,perú,lima,7626,2021,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/147869
