PaginaWeb,Nombre de la máquina,Vendedor,Precio,País de venta,Horómetro,Ciudad de venta,Marca,Año de fabricación,Enlace,Fecha de reporte
Maquinet,Excavadora Caterpillar 336,Ferreyros S.A.,305600,Perú,1830,Cajamarca,CATERPILLAR,2019,https://maquinet.com/excavadora-caterpillar-336.html,12/10/2024
Maquinet,Excavadora Caterpillar 330GC,Ferreyros S.A.,233400,Perú,1230,Lima,CATERPILLAR,2021,https://maquinet.com/excavadora-caterpillar-330gc.html,12/10/2024
Maquinet,Excavadora Caterpillar 330GC,Ferreyros S.A.,227800,Perú,1970,Lima,CATERPILLAR,2021,https://maquinet.com/excavadora-caterpillar-330gc-2021.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950H,Ferreyros S.A.,92300,Perú,8550,Lima,CATERPILLAR,2011,https://maquinet.com/cargador-frontal-caterpillar-950h.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950H,Ferreyros S.A.,73400,Perú,13300,Lima,CATERPILLAR,2011,https://maquinet.com/cargador-frontal-950h-m1g02351.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950L,Ferreyros S.A.,146200,Perú,10426,Lima,CATERPILLAR,2018,https://maquinet.com/cargador-frontal-950l.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950L,Ferreyros S.A.,141200,Perú,9644,Lima,CATERPILLAR,2019,https://maquinet.com/cargador-frontal-950l-tns00689.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966GC,Ferreyros S.A.,244500,Perú,4600,Lima,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-966gc-sgw00451.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966GC,Ferreyros S.A.,189000,Perú,5561,Lima,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-966gc-sgw00400.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966H,Ferreyros S.A.,100000,Perú,14760,Cusco,CATERPILLAR,2013,https://maquinet.com/cargador-frontal-966h-ryf01691.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966H - Año: 2017,No disponible,244500,No disponible,3803,Lima,CATERPILLAR,2017,https://maquinet.com/cargador-frontal-966h-bs600501.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966L,Ferreyros S.A.,355600,Perú,3873,Arequipa,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-966l.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966L,Ferreyros S.A.,327800,Perú,1900,Lima,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-966l-frs02357.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS11GC,Ferreyros S.A.,122300,Perú,130,Lambayeque,CATERPILLAR,2022,https://maquinet.com/rodillo-liso-cs11gc.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS11GC,Ferreyros S.A.,116700,Perú,1630,Lima,CATERPILLAR,2021,https://maquinet.com/rodillo-liso-cs11gc-rk801109.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS11GC,Ferreyros S.A.,116700,Perú,1490,Lima,CATERPILLAR,2022,https://maquinet.com/rodillo-liso-cs11gc-rk801319.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS11GC,Ferreyros S.A.,116700,Perú,1320,Lima,CATERPILLAR,2022,https://maquinet.com/rodillo-liso-cs11gc-rk801259.html,12/10/2024
Maquinet,Excavadora Caterpillar 336D2L,Ferreyros S.A.,161200,Perú,9592,Lima,CATERPILLAR,2015,https://maquinet.com/excavadora-caterpillar-336d2l-2015.html,12/10/2024
Maquinet,Excavadora Caterpillar 336GC,Ferreyros S.A.,288900,Perú,3200,Lima,CATERPILLAR,2022,https://maquinet.com/excavadora-caterpillar-336gc-2022.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS44,Unimaq S.A.,59700,Perú,440,Lima,CATERPILLAR,2019,https://maquinet.com/rodillo-compactador-caterpillar-cs44-ano-2019.html,12/10/2024
Maquinet,Excavadora sobre orugas Caterpillar 320 CH,Unimaq S.A.,156800,Perú,2283,Lima,CATERPILLAR,2021,https://maquinet.com/excavadora-sobre-orugas-caterpillar-320-ch-ano-2021.html,12/10/2024
Maquinet,Plataforma de trabajo en altura Genie GS-3246,Unimaq S.A.,17000,Perú,145,Lima,GENIE,2019,https://maquinet.com/plataforma-trabajo-en-altura-genie-gs-3246-ano-2019.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,161200,Perú,4907,Lima,CATERPILLAR,2022,https://maquinet.com/cargador-frontal-caterpillar-950gc-ano-2022.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 966GC,Ferreyros S.A.,161200,Perú,7472,Lima,CATERPILLAR,2021,https://maquinet.com/cargador-frontal-caterpillar-966-gc-ano-2021.html,12/10/2024
Maquinet,Cargador Frontal SEM 618D,Unimaq S.A.,30000,Perú,1086,Arequipa,SEM,2021,https://maquinet.com/cargador-frontal-caterpillar-950gc-ano-2020.html,12/10/2024
Maquinet,Plataforma en altura Genie S125,Unimaq S.A.,30000,Perú,4081,Ilo,GENIE,2012,https://maquinet.com/plataforma-de-trabajo-en-altura-genie-s125-ano-2012.html,12/10/2024
Maquinet,Espectrómetro RDE-OES SPECTRO SCIENTIFIC Q100.50.240,Soltrak S.A.,37669,Perú,10520,Lima,SPECTRO SCIENTIFIC,2015,https://maquinet.com/espectrometro-rde-oes-spectro-scientific-q100-50-240-ano-2015.html,12/10/2024
Maquinet,Espectrómetro RDE-OES SPECTRO SCIENTIFIC Q100.50.240,Soltrak S.A.,32166,Perú,21904,Lima,SPECTRO SCIENTIFIC,2013,https://maquinet.com/espectrometro-rde-oes-spectro-scientific-q100-50-240-ano-2016.html,12/10/2024
Maquinet,Culombimétrica Karl-Fischer SI ANALYTICS TL 7500 KF trace M4,Soltrak S.A.,5385,Perú,5,Lima,SI ANALYTICS,2018,https://maquinet.com/culombimetrica-karl-fischer-si-analytics-tl-7500-kf-trace-m4-ano-2018.html,12/10/2024
Maquinet,Limpiador Ultrasónico Cole-Parmer 08895-99,Soltrak S.A.,3025,Perú,5,Lima,COLE PARMER,2020,https://maquinet.com/limpiador-ultrasonico-cole-parmer-08895-99-ano-2020.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT780,Unimaq S.A.,265000,Perú,5892,Lima,TEREX,2015,https://maquinet.com/grua-movil-terex-rt780-ano-2015.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT780,Unimaq S.A.,265000,Perú,5081,Lima,TEREX,2015,https://maquinet.com/grua-movil-terex-rt780-ano-2016.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT230,Unimaq S.A.,141000,Perú,1365,Lima,TEREX,2011,https://maquinet.com/grua-movil-terex-rt780-ano-2017.html,12/10/2024
Maquinet,Excavadora sobre Orugas Caterpillar 336,Ferreyros S.A.,341200,Perú,10,Lima,CATERPILLAR,2023,https://maquinet.com/excavadora-sobre-orugas-caterpillar-336-ano-2023.html,12/10/2024
Maquinet,Grúa Móvil GROVE RT890E,Trex Chile,318900,Chile,5450,"Antofagasta, Chile",GROVE,2013,https://maquinet.com/grua-movil-grove-rt890e-ano-2013.html,12/10/2024
Maquinet,Grúa Móvil TEREX AC140,Trex Chile,553700,Chile,2975,"Antofagasta, Chile",TEREX,2014,https://maquinet.com/grua-movil-terex-ac140-ano-2014.html,12/10/2024
Maquinet,Grúa Móvil GROVE RT540E,Trex Chile,168100,Chile,3121,"Antofagasta, Chile",GROVE,2016,https://maquinet.com/grua-movil-grove-rt540e-ano-2016.html,12/10/2024
Maquinet,Grúa Móvil GROVE RT890E-4,Trex Chile,333100,Chile,8742,"Antofagasta, Chile",GROVE,2012,https://maquinet.com/grua-movil-grove-rt890e-4-ano-2012.html,12/10/2024
Maquinet,Grúa Móvil TEREX AC130-5,Trex Chile,700000,Chile,5297,"Antofagasta, Chile",TEREX,2018,https://maquinet.com/grua-movil-terex-ac130-5-ano-2018.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT345-1XL,Trex Chile,72500,Chile,4987,"Antofagasta, Chile",TEREX,2011,https://maquinet.com/grua-movil-terex-rt345-1xl-ano-2011.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT555-1,Trex Chile,161700,Chile,3525,"Antofagasta, Chile",TEREX,2014,https://maquinet.com/grua-movil-terex-rt555-1-ano-2014.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT780TC,Trex Chile,471900,Chile,2561,"Antofagasta, Chile",TEREX,2018,https://maquinet.com/grua-movil-terex-rt780tc-ano-2018.html,12/10/2024
Maquinet,Grúa Móvil TEREX AC140,Trex Chile,631000,Chile,3066,"Antofagasta, Chile",TEREX,2013,https://maquinet.com/grua-movil-terex-ac140-ano-2013.html,12/10/2024
Maquinet,Grúas Móvil TEREX RT780,Trex Chile,446000,Chile,4572,"Antofagasta, Chile",TEREX,2014,https://maquinet.com/gruas-movil-terex-rt780-ano-2014.html,12/10/2024
Maquinet,Grúas móviles TEREX RT100_US,Trex Chile,756000,Chile,1709,"Antofagasta, Chile",TEREX,2019,https://maquinet.com/gruas-moviles-terex-rt100-us-ano-2019.html,12/10/2024
Maquinet,Grúa Móvil TEREXRT555-1,Trex Chile,212100,Chile,9515,"Antofagasta, Chile",TEREX,2012,https://maquinet.com/grua-movil-terex-rt555-1-ano-2012.html,12/10/2024
Maquinet,Grúas móviles TEREX RT780,Trex Chile,309900,Chile,6537,"Antofagasta, Chile",TEREX,2013,https://maquinet.com/gruas-moviles-terex-rt780-ano-2013.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT780,Trex Chile,292600,Chile,1735,"Antofagasta, Chile",TEREX,2013,https://maquinet.com/grua-movil-terex-rt780-ano-2013.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT670,Trex Chile,280300,Chile,9077,"Antofagasta, Chile",TEREX,2013,https://maquinet.com/gruas-moviles-terex-rt670-ano-2013.html,12/10/2024
Maquinet,Grúa Móvil TEREX-DEMAG AC160-5,Trex Chile,1000000,Chile,5489,"Antofagasta, Chile",TEREX-DEMAG,2018,https://maquinet.com/grua-movils-terex-demag-ac160-5-ano-2018.html,12/10/2024
Maquinet,Grúa Móvil TEREX AC100 4L,Trex Chile,700000,Chile,2469,"Antofagasta, Chile",TEREX,2018,https://maquinet.com/grua-movil-terex-ac100-4l-ano-2018.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT555-1U,Trex Chile,166600,Chile,8829,"Antofagasta, Chile",TEREX,2010,https://maquinet.com/grua-movil-terex-rt555-1u-ano-2010.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT555-1U,Trex Chile,195500,Chile,5938,"Antofagasta, Chile",TEREX,2011,https://maquinet.com/gruas-moviles-terex-rt555-1u-ano-2011.html,12/10/2024
Maquinet,Grupo Electrógeno Caterpillar C13,Ferreyros S.A.,32950,Perú,14490,Lima,CATERPILLAR,2018,https://maquinet.com/grupo-electrogeno-caterpillar-c9-ano-2019.html,12/10/2024
Maquinet,Grupo Electrógeno Caterpillar C27,Ferreyros S.A.,40560,Perú,13610,Lima,CATERPILLAR,2016,https://maquinet.com/grupo-electrogeno-caterpillar-c9-ano-2020.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,122300,Perú,4714,Lima,CATERPILLAR,2020,https://maquinet.com/cargador-frontal-caterpillar-950gc-ano-2020-2.html,12/10/2024
Maquinet,Volquete Shacman SX3318DW306C,Unimaq S.A.,69000,Perú,1700,Lima,SHACMAN,2022,https://maquinet.com/volquete-shacman-sx3318dw306c-ano-2022.html,12/10/2024
Maquinet,Rodillo Vibratorio Liso Caterpillar CS54B,Ferreyros S.A.,77800,Perú,4500,Lima,CATERPILLAR,2018,https://maquinet.com/rodillo-vibratorio-liso-caterpillar-cs54b-ano-2018.html,12/10/2024
Maquinet,Excavadora sobre orugas Caterpillar 333,Ferreyros S.A.,288900,Perú,1850,Huaraz,CATERPILLAR,2022,https://maquinet.com/excavadora-sobre-orugas-caterpillar-334.html,12/10/2024
Maquinet,Motoniveladora Caterpillar 140GC,Ferreyros S.A.,177800,Perú,5008,Ica,CATERPILLAR,2020,https://maquinet.com/motoniveladora-caterpillar-140gc-1.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,127800,Perú,5520,Lima,CATERPILLAR,2020,https://maquinet.com/cargador-frontal-950gc-2.html,12/10/2024
Maquinet,Motoniveladora SEM SEM919,Unimaq S.A.,134500,Perú,899,Lima,SEM,2019,https://maquinet.com/motoniveladora-sem-sem919-ano-2019.html,12/10/2024
Maquinet,Volquete Shacman SX3258DW354C,Unimaq S.A.,69000,Perú,867,Cusco,SHACMAN,2022,https://maquinet.com/volquete-shacman-sx3258dw354c-ano-2022.html,12/10/2024
Maquinet,Plataforma en altura Genie S125,Unimaq S.A.,37000,Perú,3021,Ilo,GENIE,2014,https://maquinet.com/plataforma-en-altura-genie-s125-ano-2014.html,12/10/2024
Maquinet,Grúa Móvil TEREX QUADSTAR1100,Trex Chile,400000,Chile,7339,"Antofagasta, Chile",TEREX,2017,https://maquinet.com/grua-movil-terex-quadstar1100-ano-2017.html,12/10/2024
